,concept:name,org:resource,time:timestamp,Activity,Resource,lifecycle:transition,eventId,case:concept:name
0,sleeping_BP,0,2020-03-16 00:00:00+00:00,sleeping_BP,0,start,0,case_id
1,sleeping_BP,0,2020-03-16 07:38:00+00:00,sleeping_BP,0,complete,1,case_id
2,drink,0,2020-03-16 07:38:00+00:00,drink,0,start,2,case_id
3,drink,0,2020-03-16 07:40:00+00:00,drink,0,complete,3,case_id
4,housekeeping_BP,0,2020-03-16 07:40:00+00:00,housekeeping_BP,0,start,4,case_id
5,housekeeping_BP,0,2020-03-16 08:02:00+00:00,housekeeping_BP,0,complete,5,case_id
6,work_BP,0,2020-03-16 08:10:00+00:00,work_BP,0,start,6,case_id
7,work_BP,0,2020-03-16 18:31:00+00:00,work_BP,0,complete,7,case_id
8,drink,0,2020-03-16 18:31:00+00:00,drink,0,start,8,case_id
9,drink,0,2020-03-16 18:43:00+00:00,drink,0,complete,9,case_id
10,use_computer,0,2020-03-16 18:43:00+00:00,use_computer,0,start,10,case_id
11,use_computer,0,2020-03-16 20:35:00+00:00,use_computer,0,complete,11,case_id
12,someone_at_entrace,0,2020-03-16 20:35:00+00:00,someone_at_entrace,0,start,12,case_id
13,someone_at_entrace,0,2020-03-16 20:39:00+00:00,someone_at_entrace,0,complete,13,case_id
14,cook_and_eat_BP,0,2020-03-16 20:39:00+00:00,cook_and_eat_BP,0,start,14,case_id
15,cook_and_eat_BP,0,2020-03-16 20:42:00+00:00,cook_and_eat_BP,0,complete,15,case_id
16,drink,0,2020-03-16 21:30:00+00:00,drink,0,start,16,case_id
17,drink,0,2020-03-16 21:34:00+00:00,drink,0,complete,17,case_id
18,cook_and_eat_BP,0,2020-03-16 21:34:00+00:00,cook_and_eat_BP,0,start,18,case_id
19,cook_and_eat_BP,0,2020-03-16 21:59:00+00:00,cook_and_eat_BP,0,complete,19,case_id
20,housekeeping_BP,0,2020-03-16 21:59:00+00:00,housekeeping_BP,0,start,20,case_id
21,housekeeping_BP,0,2020-03-16 22:14:00+00:00,housekeeping_BP,0,complete,21,case_id
22,wc,0,2020-03-16 22:28:00+00:00,wc,0,start,22,case_id
23,wc,0,2020-03-16 22:32:00+00:00,wc,0,complete,23,case_id
24,drink,0,2020-03-16 22:32:00+00:00,drink,0,start,24,case_id
25,drink,0,2020-03-16 22:34:00+00:00,drink,0,complete,25,case_id
26,housekeeping_BP,0,2020-03-16 22:34:00+00:00,housekeeping_BP,0,start,26,case_id
27,housekeeping_BP,0,2020-03-16 22:42:00+00:00,housekeeping_BP,0,complete,27,case_id
28,relax_BP,0,2020-03-16 22:42:00+00:00,relax_BP,0,start,28,case_id
29,relax_BP,0,2020-03-16 23:50:00+00:00,relax_BP,0,complete,29,case_id
30,sleeping_BP,0,2020-03-16 23:50:00+00:00,sleeping_BP,0,start,30,case_id
31,sleeping_BP,0,2020-03-17 00:28:00+00:00,sleeping_BP,0,complete,31,case_id
32,wc,0,2020-03-17 04:03:00+00:00,wc,0,start,32,case_id
33,wc,0,2020-03-17 04:11:00+00:00,wc,0,complete,33,case_id
34,sleeping_BP,0,2020-03-17 04:11:00+00:00,sleeping_BP,0,start,34,case_id
35,sleeping_BP,0,2020-03-17 04:12:00+00:00,sleeping_BP,0,complete,35,case_id
36,work_BP,0,2020-03-17 08:17:00+00:00,work_BP,0,start,36,case_id
37,work_BP,0,2020-03-17 18:39:00+00:00,work_BP,0,complete,37,case_id
38,drink,0,2020-03-17 18:39:00+00:00,drink,0,start,38,case_id
39,drink,0,2020-03-17 18:52:00+00:00,drink,0,complete,39,case_id
40,use_computer,0,2020-03-17 18:52:00+00:00,use_computer,0,start,40,case_id
41,use_computer,0,2020-03-17 20:50:00+00:00,use_computer,0,complete,41,case_id
42,cook_and_eat_BP,0,2020-03-17 20:50:00+00:00,cook_and_eat_BP,0,start,42,case_id
43,cook_and_eat_BP,0,2020-03-17 20:53:00+00:00,cook_and_eat_BP,0,complete,43,case_id
44,drink,0,2020-03-17 21:45:00+00:00,drink,0,start,44,case_id
45,drink,0,2020-03-17 21:49:00+00:00,drink,0,complete,45,case_id
46,cook_and_eat_BP,0,2020-03-17 21:49:00+00:00,cook_and_eat_BP,0,complete,46,case_id
47,sleeping_BP,0,2020-03-17 22:18:00+00:00,sleeping_BP,0,complete,47,case_id
48,wc,0,2020-03-18 01:08:00+00:00,wc,0,start,48,case_id
49,wc,0,2020-03-18 01:17:00+00:00,wc,0,complete,49,case_id
50,someone_at_entrace,0,2020-03-18 01:17:00+00:00,someone_at_entrace,0,start,50,case_id
51,someone_at_entrace,0,2020-03-18 01:21:00+00:00,someone_at_entrace,0,complete,51,case_id
52,sleeping_BP,0,2020-03-18 01:21:00+00:00,sleeping_BP,0,start,52,case_id
53,sleeping_BP,0,2020-03-18 02:21:00+00:00,sleeping_BP,0,complete,53,case_id
54,cook_and_eat_BP,0,2020-03-18 02:21:00+00:00,cook_and_eat_BP,0,start,54,case_id
55,cook_and_eat_BP,0,2020-03-18 02:27:00+00:00,cook_and_eat_BP,0,complete,55,case_id
56,drink,0,2020-03-18 02:27:00+00:00,drink,0,start,56,case_id
57,drink,0,2020-03-18 02:29:00+00:00,drink,0,complete,57,case_id
58,relax_BP,0,2020-03-18 02:29:00+00:00,relax_BP,0,start,58,case_id
59,relax_BP,0,2020-03-18 03:28:00+00:00,relax_BP,0,complete,59,case_id
60,wc,0,2020-03-18 03:28:00+00:00,wc,0,start,60,case_id
61,wc,0,2020-03-18 03:32:00+00:00,wc,0,complete,61,case_id
62,relax_BP,0,2020-03-18 03:32:00+00:00,relax_BP,0,start,62,case_id
63,relax_BP,0,2020-03-18 03:56:00+00:00,relax_BP,0,complete,63,case_id
64,drink,0,2020-03-18 03:56:00+00:00,drink,0,start,64,case_id
65,drink,0,2020-03-18 03:58:00+00:00,drink,0,complete,65,case_id
66,relax_BP,0,2020-03-18 03:58:00+00:00,relax_BP,0,start,66,case_id
67,relax_BP,0,2020-03-18 05:18:00+00:00,relax_BP,0,complete,67,case_id
68,drink,0,2020-03-18 05:18:00+00:00,drink,0,start,68,case_id
69,drink,0,2020-03-18 05:21:00+00:00,drink,0,complete,69,case_id
70,relax_BP,0,2020-03-18 05:21:00+00:00,relax_BP,0,start,70,case_id
71,relax_BP,0,2020-03-18 05:40:00+00:00,relax_BP,0,complete,71,case_id
72,wc,0,2020-03-18 05:40:00+00:00,wc,0,start,72,case_id
73,wc,0,2020-03-18 05:45:00+00:00,wc,0,complete,73,case_id
74,relax_BP,0,2020-03-18 05:45:00+00:00,relax_BP,0,start,74,case_id
75,relax_BP,0,2020-03-18 06:06:00+00:00,relax_BP,0,complete,75,case_id
76,use_computer,0,2020-03-18 06:06:00+00:00,use_computer,0,start,76,case_id
77,use_computer,0,2020-03-18 06:07:00+00:00,use_computer,0,complete,77,case_id
78,drink,0,2020-03-18 07:21:00+00:00,drink,0,start,78,case_id
79,drink,0,2020-03-18 07:23:00+00:00,drink,0,complete,79,case_id
80,use_computer,0,2020-03-18 07:23:00+00:00,use_computer,0,start,80,case_id
81,use_computer,0,2020-03-18 08:04:00+00:00,use_computer,0,complete,81,case_id
82,cook_and_eat_BP,0,2020-03-18 08:04:00+00:00,cook_and_eat_BP,0,start,82,case_id
83,cook_and_eat_BP,0,2020-03-18 08:07:00+00:00,cook_and_eat_BP,0,complete,83,case_id
84,work_BP,0,2020-03-18 08:22:00+00:00,work_BP,0,start,84,case_id
85,work_BP,0,2020-03-18 18:43:00+00:00,work_BP,0,complete,85,case_id
86,drink,0,2020-03-18 18:43:00+00:00,drink,0,start,86,case_id
87,drink,0,2020-03-18 18:44:00+00:00,drink,0,complete,87,case_id
88,cook_and_eat_BP,0,2020-03-18 18:56:00+00:00,cook_and_eat_BP,0,start,88,case_id
89,cook_and_eat_BP,0,2020-03-18 19:19:00+00:00,cook_and_eat_BP,0,complete,89,case_id
90,drink,0,2020-03-18 19:20:00+00:00,drink,0,complete,90,case_id
91,someone_at_entrace,0,2020-03-18 19:20:00+00:00,someone_at_entrace,0,start,91,case_id
92,someone_at_entrace,0,2020-03-18 19:23:00+00:00,someone_at_entrace,0,complete,92,case_id
93,use_computer,0,2020-03-18 19:23:00+00:00,use_computer,0,start,93,case_id
94,use_computer,0,2020-03-18 21:05:00+00:00,use_computer,0,complete,94,case_id
95,drink,0,2020-03-18 21:05:00+00:00,drink,0,start,95,case_id
96,drink,0,2020-03-18 21:08:00+00:00,drink,0,complete,96,case_id
97,wc,0,2020-03-18 21:08:00+00:00,wc,0,start,97,case_id
98,wc,0,2020-03-18 21:16:00+00:00,wc,0,complete,98,case_id
99,cook_and_eat_BP,0,2020-03-18 21:16:00+00:00,cook_and_eat_BP,0,start,99,case_id
100,cook_and_eat_BP,0,2020-03-18 22:24:00+00:00,cook_and_eat_BP,0,complete,100,case_id
101,drink,0,2020-03-18 22:24:00+00:00,drink,0,start,101,case_id
102,drink,0,2020-03-18 22:27:00+00:00,drink,0,complete,102,case_id
103,sleeping_BP,0,2020-03-18 22:27:00+00:00,sleeping_BP,0,start,103,case_id
104,sleeping_BP,0,2020-03-18 23:04:00+00:00,sleeping_BP,0,complete,104,case_id
105,wc,0,2020-03-19 05:11:00+00:00,wc,0,start,105,case_id
106,wc,0,2020-03-19 05:22:00+00:00,wc,0,complete,106,case_id
107,sleeping_BP,0,2020-03-19 05:23:00+00:00,sleeping_BP,0,complete,107,case_id
108,work_BP,0,2020-03-19 08:26:00+00:00,work_BP,0,start,108,case_id
109,work_BP,0,2020-03-19 18:45:00+00:00,work_BP,0,complete,109,case_id
110,drink,0,2020-03-19 18:45:00+00:00,drink,0,start,110,case_id
111,drink,0,2020-03-19 18:57:00+00:00,drink,0,complete,111,case_id
112,sleeping_BP,0,2020-03-19 18:57:00+00:00,sleeping_BP,0,start,112,case_id
113,sleeping_BP,0,2020-03-19 18:58:00+00:00,sleeping_BP,0,complete,113,case_id
114,wc,0,2020-03-19 23:54:00+00:00,wc,0,start,114,case_id
115,wc,0,2020-03-20 00:00:00+00:00,wc,0,complete,115,case_id
116,sleeping_BP,0,2020-03-20 00:01:00+00:00,sleeping_BP,0,complete,116,case_id
117,wc,0,2020-03-20 08:03:00+00:00,wc,0,start,117,case_id
118,wc,0,2020-03-20 08:07:00+00:00,wc,0,complete,118,case_id
119,use_computer,0,2020-03-20 08:08:00+00:00,use_computer,0,start,119,case_id
120,use_computer,0,2020-03-20 08:08:00+00:00,use_computer,0,complete,120,case_id
121,work_BP,0,2020-03-20 08:21:00+00:00,work_BP,0,start,121,case_id
122,work_BP,0,2020-03-20 18:39:00+00:00,work_BP,0,complete,122,case_id
123,drink,0,2020-03-20 18:39:00+00:00,drink,0,start,123,case_id
124,drink,0,2020-03-20 18:40:00+00:00,drink,0,complete,124,case_id
125,use_computer,0,2020-03-20 18:51:00+00:00,use_computer,0,start,125,case_id
126,use_computer,0,2020-03-20 19:57:00+00:00,use_computer,0,complete,126,case_id
127,cook_and_eat_BP,0,2020-03-20 19:57:00+00:00,cook_and_eat_BP,0,start,127,case_id
128,cook_and_eat_BP,0,2020-03-20 19:59:00+00:00,cook_and_eat_BP,0,complete,128,case_id
129,drink,0,2020-03-20 20:49:00+00:00,drink,0,start,129,case_id
130,drink,0,2020-03-20 20:50:00+00:00,drink,0,complete,130,case_id
131,cook_and_eat_BP,0,2020-03-20 20:50:00+00:00,cook_and_eat_BP,0,complete,131,case_id
132,drink,0,2020-03-20 21:33:00+00:00,drink,0,start,132,case_id
133,drink,0,2020-03-20 21:37:00+00:00,drink,0,complete,133,case_id
134,cook_and_eat_BP,0,2020-03-20 21:37:00+00:00,cook_and_eat_BP,0,complete,134,case_id
135,sleeping_BP,0,2020-03-20 21:59:00+00:00,sleeping_BP,0,start,135,case_id
136,sleeping_BP,0,2020-03-20 22:13:00+00:00,sleeping_BP,0,complete,136,case_id
137,cook_and_eat_BP,0,2020-03-20 22:13:00+00:00,cook_and_eat_BP,0,start,137,case_id
138,cook_and_eat_BP,0,2020-03-20 22:30:00+00:00,cook_and_eat_BP,0,complete,138,case_id
139,someone_at_entrace,0,2020-03-20 22:30:00+00:00,someone_at_entrace,0,start,139,case_id
140,someone_at_entrace,0,2020-03-20 22:34:00+00:00,someone_at_entrace,0,complete,140,case_id
141,wc,0,2020-03-20 22:34:00+00:00,wc,0,start,141,case_id
142,wc,0,2020-03-20 22:37:00+00:00,wc,0,complete,142,case_id
143,drink,0,2020-03-20 22:37:00+00:00,drink,0,start,143,case_id
144,drink,0,2020-03-20 22:40:00+00:00,drink,0,complete,144,case_id
145,wc,0,2020-03-20 22:40:00+00:00,wc,0,start,145,case_id
146,wc,0,2020-03-20 22:45:00+00:00,wc,0,complete,146,case_id
147,sleeping_BP,0,2020-03-20 22:45:00+00:00,sleeping_BP,0,start,147,case_id
148,sleeping_BP,0,2020-03-20 23:17:00+00:00,sleeping_BP,0,complete,148,case_id
149,wc,0,2020-03-21 03:25:00+00:00,wc,0,start,149,case_id
150,wc,0,2020-03-21 03:32:00+00:00,wc,0,complete,150,case_id
151,sleeping_BP,0,2020-03-21 03:32:00+00:00,sleeping_BP,0,start,151,case_id
152,sleeping_BP,0,2020-03-21 16:48:00+00:00,sleeping_BP,0,complete,152,case_id
153,wc,0,2020-03-21 16:48:00+00:00,wc,0,start,153,case_id
154,wc,0,2020-03-21 16:53:00+00:00,wc,0,complete,154,case_id
155,Airing_home,0,2020-03-21 16:53:00+00:00,Airing_home,0,start,155,case_id
156,Airing_home,0,2020-03-21 16:54:00+00:00,Airing_home,0,complete,156,case_id
157,relax_BP,0,2020-03-21 16:54:00+00:00,relax_BP,0,start,157,case_id
158,relax_BP,0,2020-03-21 17:14:00+00:00,relax_BP,0,complete,158,case_id
159,drink,0,2020-03-21 17:14:00+00:00,drink,0,start,159,case_id
160,drink,0,2020-03-21 17:16:00+00:00,drink,0,complete,160,case_id
161,relax_BP,0,2020-03-21 17:16:00+00:00,relax_BP,0,start,161,case_id
162,relax_BP,0,2020-03-21 19:07:00+00:00,relax_BP,0,complete,162,case_id
163,drink,0,2020-03-21 19:07:00+00:00,drink,0,start,163,case_id
164,drink,0,2020-03-21 19:09:00+00:00,drink,0,complete,164,case_id
165,relax_BP,0,2020-03-21 19:09:00+00:00,relax_BP,0,start,165,case_id
166,relax_BP,0,2020-03-21 19:28:00+00:00,relax_BP,0,complete,166,case_id
167,cook_and_eat_BP,0,2020-03-21 19:28:00+00:00,cook_and_eat_BP,0,start,167,case_id
168,cook_and_eat_BP,0,2020-03-21 20:09:00+00:00,cook_and_eat_BP,0,complete,168,case_id
169,drink,0,2020-03-21 20:09:00+00:00,drink,0,start,169,case_id
170,drink,0,2020-03-21 20:11:00+00:00,drink,0,complete,170,case_id
171,use_computer,0,2020-03-21 20:11:00+00:00,use_computer,0,start,171,case_id
172,use_computer,0,2020-03-21 21:53:00+00:00,use_computer,0,complete,172,case_id
173,drink,0,2020-03-21 21:53:00+00:00,drink,0,start,173,case_id
174,drink,0,2020-03-21 21:56:00+00:00,drink,0,complete,174,case_id
175,exercise,0,2020-03-21 21:56:00+00:00,exercise,0,start,175,case_id
176,exercise,0,2020-03-21 22:30:00+00:00,exercise,0,complete,176,case_id
177,wc,0,2020-03-21 22:30:00+00:00,wc,0,start,177,case_id
178,wc,0,2020-03-21 22:35:00+00:00,wc,0,complete,178,case_id
179,relax_BP,0,2020-03-21 22:35:00+00:00,relax_BP,0,start,179,case_id
180,relax_BP,0,2020-03-21 22:35:00+00:00,relax_BP,0,complete,180,case_id
181,wc,0,2020-03-21 22:35:00+00:00,wc,0,start,181,case_id
182,wc,0,2020-03-21 22:35:00+00:00,wc,0,complete,182,case_id
183,relax_BP,0,2020-03-21 22:58:00+00:00,relax_BP,0,start,183,case_id
184,relax_BP,0,2020-03-21 23:22:00+00:00,relax_BP,0,complete,184,case_id
185,drink,0,2020-03-21 23:22:00+00:00,drink,0,start,185,case_id
186,drink,0,2020-03-21 23:24:00+00:00,drink,0,complete,186,case_id
187,relax_BP,0,2020-03-21 23:24:00+00:00,relax_BP,0,start,187,case_id
188,relax_BP,0,2020-03-22 00:47:00+00:00,relax_BP,0,complete,188,case_id
189,drink,0,2020-03-22 00:47:00+00:00,drink,0,start,189,case_id
190,drink,0,2020-03-22 00:49:00+00:00,drink,0,complete,190,case_id
191,relax_BP,0,2020-03-22 00:49:00+00:00,relax_BP,0,start,191,case_id
192,relax_BP,0,2020-03-22 01:35:00+00:00,relax_BP,0,complete,192,case_id
193,cook_and_eat_BP,0,2020-03-22 01:35:00+00:00,cook_and_eat_BP,0,start,193,case_id
194,cook_and_eat_BP,0,2020-03-22 02:09:00+00:00,cook_and_eat_BP,0,complete,194,case_id
195,drink,0,2020-03-22 02:10:00+00:00,drink,0,start,195,case_id
196,drink,0,2020-03-22 02:12:00+00:00,drink,0,complete,196,case_id
197,wc,0,2020-03-22 02:12:00+00:00,wc,0,start,197,case_id
198,wc,0,2020-03-22 02:16:00+00:00,wc,0,complete,198,case_id
199,cook_and_eat_BP,0,2020-03-22 02:16:00+00:00,cook_and_eat_BP,0,start,199,case_id
200,cook_and_eat_BP,0,2020-03-22 02:17:00+00:00,cook_and_eat_BP,0,complete,200,case_id
201,relax_BP,0,2020-03-22 02:17:00+00:00,relax_BP,0,start,201,case_id
202,relax_BP,0,2020-03-22 02:54:00+00:00,relax_BP,0,complete,202,case_id
203,use_computer,0,2020-03-22 02:54:00+00:00,use_computer,0,start,203,case_id
204,use_computer,0,2020-03-22 02:54:00+00:00,use_computer,0,complete,204,case_id
205,drink,0,2020-03-22 03:51:00+00:00,drink,0,start,205,case_id
206,drink,0,2020-03-22 03:53:00+00:00,drink,0,complete,206,case_id
207,use_computer,0,2020-03-22 03:53:00+00:00,use_computer,0,start,207,case_id
208,use_computer,0,2020-03-22 05:00:00+00:00,use_computer,0,complete,208,case_id
209,relax_BP,0,2020-03-22 05:01:00+00:00,relax_BP,0,start,209,case_id
210,relax_BP,0,2020-03-22 05:18:00+00:00,relax_BP,0,complete,210,case_id
211,drink,0,2020-03-22 05:18:00+00:00,drink,0,start,211,case_id
212,drink,0,2020-03-22 05:20:00+00:00,drink,0,complete,212,case_id
213,relax_BP,0,2020-03-22 05:20:00+00:00,relax_BP,0,start,213,case_id
214,relax_BP,0,2020-03-22 06:22:00+00:00,relax_BP,0,complete,214,case_id
215,wc,0,2020-03-22 06:22:00+00:00,wc,0,start,215,case_id
216,wc,0,2020-03-22 06:27:00+00:00,wc,0,complete,216,case_id
217,relax_BP,0,2020-03-22 06:27:00+00:00,relax_BP,0,start,217,case_id
218,relax_BP,0,2020-03-22 06:48:00+00:00,relax_BP,0,complete,218,case_id
219,drink,0,2020-03-22 06:48:00+00:00,drink,0,start,219,case_id
220,drink,0,2020-03-22 06:51:00+00:00,drink,0,complete,220,case_id
221,relax_BP,0,2020-03-22 06:51:00+00:00,relax_BP,0,start,221,case_id
222,relax_BP,0,2020-03-22 07:48:00+00:00,relax_BP,0,complete,222,case_id
223,cook_and_eat_BP,0,2020-03-22 07:48:00+00:00,cook_and_eat_BP,0,start,223,case_id
224,cook_and_eat_BP,0,2020-03-22 08:20:00+00:00,cook_and_eat_BP,0,complete,224,case_id
225,drink,0,2020-03-22 08:20:00+00:00,drink,0,start,225,case_id
226,drink,0,2020-03-22 08:23:00+00:00,drink,0,complete,226,case_id
227,relax_BP,0,2020-03-22 08:23:00+00:00,relax_BP,0,start,227,case_id
228,relax_BP,0,2020-03-22 09:06:00+00:00,relax_BP,0,complete,228,case_id
229,use_computer,0,2020-03-22 09:06:00+00:00,use_computer,0,start,229,case_id
230,use_computer,0,2020-03-22 09:07:00+00:00,use_computer,0,complete,230,case_id
231,relax_BP,0,2020-03-22 09:07:00+00:00,relax_BP,0,start,231,case_id
232,relax_BP,0,2020-03-22 09:49:00+00:00,relax_BP,0,complete,232,case_id
233,drink,0,2020-03-22 09:49:00+00:00,drink,0,start,233,case_id
234,drink,0,2020-03-22 09:51:00+00:00,drink,0,complete,234,case_id
235,wc,0,2020-03-22 09:51:00+00:00,wc,0,start,235,case_id
236,wc,0,2020-03-22 09:55:00+00:00,wc,0,complete,236,case_id
237,relax_BP,0,2020-03-22 09:55:00+00:00,relax_BP,0,start,237,case_id
238,relax_BP,0,2020-03-22 10:12:00+00:00,relax_BP,0,complete,238,case_id
239,someone_at_entrace,0,2020-03-22 10:12:00+00:00,someone_at_entrace,0,start,239,case_id
240,someone_at_entrace,0,2020-03-22 10:14:00+00:00,someone_at_entrace,0,complete,240,case_id
241,use_computer,0,2020-03-22 10:14:00+00:00,use_computer,0,start,241,case_id
242,use_computer,0,2020-03-22 11:48:00+00:00,use_computer,0,complete,242,case_id
243,drink,0,2020-03-22 11:48:00+00:00,drink,0,start,243,case_id
244,drink,0,2020-03-22 11:51:00+00:00,drink,0,complete,244,case_id
245,relax_BP,0,2020-03-22 11:51:00+00:00,relax_BP,0,start,245,case_id
246,relax_BP,0,2020-03-22 12:56:00+00:00,relax_BP,0,complete,246,case_id
247,drink,0,2020-03-22 12:56:00+00:00,drink,0,start,247,case_id
248,drink,0,2020-03-22 12:57:00+00:00,drink,0,complete,248,case_id
249,wc,0,2020-03-22 12:57:00+00:00,wc,0,start,249,case_id
250,wc,0,2020-03-22 13:01:00+00:00,wc,0,complete,250,case_id
251,relax_BP,0,2020-03-22 13:01:00+00:00,relax_BP,0,start,251,case_id
252,relax_BP,0,2020-03-22 13:56:00+00:00,relax_BP,0,complete,252,case_id
253,cook_and_eat_BP,0,2020-03-22 13:56:00+00:00,cook_and_eat_BP,0,start,253,case_id
254,cook_and_eat_BP,0,2020-03-22 14:31:00+00:00,cook_and_eat_BP,0,complete,254,case_id
255,drink,0,2020-03-22 14:31:00+00:00,drink,0,start,255,case_id
256,drink,0,2020-03-22 14:34:00+00:00,drink,0,complete,256,case_id
257,relax_BP,0,2020-03-22 14:34:00+00:00,relax_BP,0,start,257,case_id
258,relax_BP,0,2020-03-22 14:51:00+00:00,relax_BP,0,complete,258,case_id
259,someone_at_entrace,0,2020-03-22 15:09:00+00:00,someone_at_entrace,0,start,259,case_id
260,someone_at_entrace,0,2020-03-22 15:12:00+00:00,someone_at_entrace,0,complete,260,case_id
261,relax_BP,0,2020-03-22 15:12:00+00:00,relax_BP,0,start,261,case_id
262,relax_BP,0,2020-03-22 15:57:00+00:00,relax_BP,0,complete,262,case_id
